Crop_Name,Crop_Type,Ideal_Soil,Sowing_Season,Temperature_Min_C,Temperature_Max_C,Harvest_Days,Growth_Stages,Crop_Encoded,Watering_Frequency,Organic_Fertilizers,Pest_Management,Growth_Stages_Detailed,Ideal_Soil_pH
Barley,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,7,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Sorghum,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,88,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Bajra,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,5,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Ragi,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,82,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Chickpea,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,20,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Lentil,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,56,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Green Gram,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,41,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Black Gram,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,11,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Pigeon Pea,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,73,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Soybean,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,89,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Kidney Beans,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,51,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Horse Gram,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,44,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
